mode,seed_index,threshold,k,precision_at_k,recall_at_k,f1_score,ndcg_at_k
lexical,731,2,10,1.0,0.014705882352941176,0.028985507246376812,1.0
lexical,731,2,20,1.0,0.029411764705882353,0.05714285714285715,1.0
lexical,882,2,5,1.0,0.008064516129032258,0.016,1.0
lexical,882,2,10,0.8,0.012903225806451613,0.025396825396825393,0.8553475075669357
lexical,882,2,20,0.85,0.027419354838709678,0.053125,0.8702897165218126
lexical,174,2,5,0.4,0.004140786749482402,0.00819672131147541,0.48522855511632257
lexical,174,2,10,0.3,0.006211180124223602,0.012170385395537523,0.3932783996463063
lexical,174,2,20,0.55,0.022774327122153208,0.0437375745526839,0.5371920807934041
lexical,783,2,5,1.0,0.007886435331230283,0.01564945226917058,1.0
lexical,783,2,10,0.9,0.014195583596214511,0.027950310559006212,0.9266360779006401
lexical,783,2,20,0.85,0.026813880126182965,0.05198776758409786,0.8823931375148314
lexical,350,2,5,0.8,0.006201550387596899,0.012307692307692308,0.830419897363192
lexical,350,2,10,0.9,0.013953488372093023,0.027480916030534354,0.8899541168509599
lexical,350,2,20,0.9,0.027906976744186046,0.05413533834586466,0.8905953420177884
lexical,431,2,5,1.0,0.008665511265164644,0.01718213058419244,1.0
lexical,431,2,10,1.0,0.01733102253032929,0.034071550255536626,1.0
lexical,431,2,20,1.0,0.03466204506065858,0.06700167504187605,1.0
lexical,734,2,5,1.0,0.0068775790921595595,0.01366120218579235,1.0
lexical,734,2,10,0.8,0.011004126547455296,0.021709633649932156,0.8630152897016883
lexical,734,2,20,0.9,0.024759284731774415,0.048192771084337345,0.9115945407352253
lexical,330,2,5,0.6,0.004026845637583893,0.008,0.6843515475204855
lexical,330,2,10,0.7,0.009395973154362415,0.018543046357615892,0.7289115290270202
lexical,330,2,20,0.85,0.022818791946308724,0.044444444444444446,0.8250483522901079
lexical,719,2,5,1.0,0.012626262626262626,0.02493765586034913,1.0
lexical,719,2,10,1.0,0.025252525252525252,0.04926108374384236,1.0
lexical,719,2,20,0.95,0.047979797979797977,0.09134615384615384,0.9652498273011314
lexical,375,2,5,0.8,0.01020408163265306,0.020151133501259442,0.7860137352654724
lexical,375,2,10,0.9,0.02295918367346939,0.04477611940298508,0.8611375561264454
lexical,375,2,20,0.75,0.03826530612244898,0.07281553398058253,0.7696312105944847
lexical,680,2,5,1.0,0.007204610951008645,0.01430615164520744,1.0
lexical,680,2,10,1.0,0.01440922190201729,0.028409090909090908,1.0
lexical,680,2,20,0.95,0.027377521613832854,0.05322128851540617,0.9652498273011314
lexical,586,2,5,1.0,0.008771929824561403,0.017391304347826087,1.0
lexical,586,2,10,0.9,0.015789473684210527,0.031034482758620686,0.9216017310213247
lexical,586,2,20,0.75,0.02631578947368421,0.05084745762711864,0.8071245000287381
lexical,334,2,5,1.0,0.006640106241699867,0.013192612137203167,1.0
lexical,334,2,10,1.0,0.013280212483399735,0.026212319790301444,1.0
lexical,334,2,20,1.0,0.02656042496679947,0.0517464424320828,1.0
lexical,834,2,5,0.8,0.011494252873563218,0.022662889518413595,0.6608397947263839
lexical,834,2,10,0.9,0.02586206896551724,0.05027932960893855,0.7799082337019199
lexical,834,2,20,0.7,0.040229885057471264,0.07608695652173912,0.6757496660998713
lexical,726,2,5,0.4,0.007380073800738007,0.014492753623188404,0.36005461457723403
lexical,726,2,10,0.4,0.014760147601476014,0.02846975088967971,0.37566986542073233
lexical,726,2,20,0.35,0.025830258302583026,0.048109965635738834,0.3531725926861044
lexical,333,2,5,1.0,0.009433962264150943,0.018691588785046728,1.0
lexical,333,2,10,1.0,0.018867924528301886,0.037037037037037035,1.0
lexical,333,2,20,0.9,0.033962264150943396,0.06545454545454545,0.9329115361528116
lexical,356,2,5,0.8,0.007736943907156673,0.015325670498084294,0.6608397947263839
lexical,356,2,10,0.8,0.015473887814313346,0.030360531309297913,0.7104770117651426
lexical,356,2,20,0.65,0.025145067698259187,0.04841713221601489,0.6347801773351996
lexical,749,2,5,1.0,0.008278145695364239,0.016420361247947456,1.0
lexical,749,2,10,1.0,0.016556291390728478,0.03257328990228013,1.0
lexical,749,2,20,1.0,0.033112582781456956,0.06410256410256411,1.0
lexical,49,2,5,1.0,0.008305647840531562,0.016474464579901153,1.0
lexical,49,2,10,1.0,0.016611295681063124,0.032679738562091505,1.0
lexical,49,2,20,0.95,0.03156146179401993,0.06109324758842443,0.9626932496335553
lexical,688,2,5,1.0,0.01201923076923077,0.023752969121140142,1.0
lexical,688,2,10,0.9,0.021634615384615384,0.04225352112676056,0.9266360779006401
lexical,688,2,20,0.95,0.04567307692307692,0.0871559633027523,0.9526533201221142
lexical,537,2,5,0.6,0.020134228187919462,0.03896103896103896,0.6843515475204855
lexical,537,2,10,0.4,0.026845637583892617,0.050314465408805034,0.5077181160122074
lexical,537,2,20,0.35,0.04697986577181208,0.08284023668639054,0.43198784915914107
lexical,460,2,5,0.8,0.0061823802163833074,0.012269938650306749,0.830419897363192
lexical,460,2,10,0.7,0.010819165378670788,0.0213089802130898,0.7381919257729245
